Review,Rating,Likes,App Version,Review Date
"Dari keseluruhan game bagus,belum lagi event skin yang tersedia gratis bagi player².. Tetapi tolong perbaiki sistem match making yang tidak adil,dimana banyak player bermain tidak bagus dan berferforma buruk terlebih lagi selalu bertabrakan lane dengan player lain.",2,764,1.9.16.9839,2024-09-14 09:24:56
"Sistem pertarungan lebih sering mendapatkan tidak seimbang. Sehingga dalam game tidak terlalu menikmati. Ditambah lagi rekan setim yang sering mendapatkan perlakuan seperti sengaja memberikan kill,melempar teman sendiri ketika menggunakan jawhead. Tolong diperbaiki sistem matchmakingnya,sehingga dalam pertarungan lebih seru dan player player sangat menikmati",3,496,1.9.16.9839,2024-09-14 01:50:19
"Game nya sih udah bagus tampilan sekarang nya sekarang udah oke, tapi yang kurang nya itu kenapa saat mulai matchmaking selalu lag padahal sinyal ku saat itu bagus terus satu lagi saat di pertandingan sering terjadi tuh tiba tiba lag sendiri hilang jaringan nya padahal sinyal ku baik baik aja, nah saya mohon buat pencipta game mobile legends ini agar dapat mengatasi masalah tersebut.kalau update dari segi tampilan nya sekarang oke lumayan 😄👍. Oke mungkin segitu aja ya thanks 🙏",5,238,19.2.11.103,2024-09-20 23:02:35
"Demi apapun, game terburuk yg pernah gue mainin.... Sistem matchmaking kagak adil, banyak bug, banyak error, lawan yg gue dapat banyak Makai cheat bjirrr, system banyak yg error.....hadehhh.... Sumpah jelek banget, 3 tahun gue berhenti main, gue berharap diperbaiki ternyata makin jelek daripada sebelumnya 😡😡 Nggak disarankan untuk dimainkan 😡 Kami sebagai pemain tetap mengharapkan permainan yg adil, dan perbaikan secara keseluruhan. Kita bermain untuk menyenangkan diri, bukan untuk emosi....",1,3484,1.9.16.9839,2024-09-10 14:28:51
"Tolong Ya Fiture Banned Chat (MUTE) tdk perlu di adakan...! bagaimana para player tidak bicara Toxic kalau monton saja mengatur game / musuh ketika matchmaking dikasih team yg DARK SYSTEM semua! di imbangkan lah yg bisa sama yg bisa / sama yg lumayan bisa team nya. JANGAN yg bisa main di isi sama team yg gak bisa sama sekali.. Dikira Push Rank gak capek??? kita main game juga selalu top up , isi data & perlu waktu.. di minimalisirkan ya monton kalau matchmaking yg sesuai team nya !",1,57,19.2.11.103,2024-09-21 08:44:09
"Tolong di perbaiki lagi sering terjadi tiba tiba jaringan drop padahal di cek jaringannya masih aman, sungguh sangat merugikan sekali!!!. Pantas saja banyak yang pindah ke game sebelah ternyata masalah nya bukan di pas waktu matcmaking nya saja tapi jaringan yang tiba tiba drop juga sering terjadi Tolong developer segera di perbaiki",1,528,1.9.16.9839,2024-09-16 16:38:22
mohon dibaca monton! saya sebagai player mlbb baru kali ini kecewa berat dengan bug jaringan yg terjadi masalahnya saya main mode rank itu biar win dengan usaha keras kalau gini siapa yg rugi sewaktu masih dilobby lancar aja jaringan tapi kenapa digame ping 40 aja ngeleg tapi jaringan ping masih warna hijau alias 40 an keatas paling tinggi 80 an tapi kenapa sering terjadi bug tolong diperbaiki ya saya pindah game dulu kalau udah diperbaiki saya comeback lagi see you monton i hate you tolong diul,1,717,1.9.16.9839,2024-09-14 13:29:42
"Tolong diperbaiki lagi admin moonton jaringan nya saat bermain 🙏🙏🙏, awalnya saya bermain menggunakan wifi terus ngelag wifinya, nah kemudian saya pake data seluler namun jaringan nya tetap ngelag saat bermain padahal jaringan kartu saya bagus/ lancar + paket data nya banyak. Mohon segera diperbaiki untuk masalah ini !!!",3,17,19.2.11.103,2024-09-21 14:55:59
"Game ini sangatlah bagus, memberi skin banyak dan event yang bagus, Tetapi Pembuatan system yang buruk kenapa saya selalu mendapatkan rekan tim yang tidak seimbang dengan pengalaman bermain beserta tingkat kemenangan pertandingan saya? Bukan lawan yang susah melainkan tim yang sama dapatkan bagaikan computer bahkan computer pun lebih pintar. Tolong berikan keadilan kepada player solo rank karena sudah mendapatkan rekan tim yang tidak kompak.",1,1283,1.9.16.9839,2024-09-07 08:28:23
"Ini ada yanga baru ni, dalam rank pertandingan lawan bisa kita dapat berkali-kali musuh nya tetap itu, hebat kan bisa dapat musuh yang sama dan pertandingan ke 2 kali dan ke 3 kali nya juga Maaf gk bisa kasih bintang banyak soalnya aneh game, gk jelas Tolong untuk benar kan semua nya jangan sampai semua orang uninstall semua",1,934,1.9.16.9839,2024-09-09 04:07:34
"Mengecek resource jadi lama banget, bahkan ga maju sama sekali dan malah ngestuck di 1/5 padahal jaringan bagus. Saya cobain install ulang karena gw kira bakal normal kembali, tapi hasilnya sama aja. Download data gabisa, mengecek resource gabisa hadehhh",2,300,1.9.16.9839,2024-09-13 06:31:40
"Pengalaman buruk bermain, sistem matching aneh, saya selalu mendapatkan rekan tim yg buruk, sedangkan lawan lebih over power, selalu diulang2 setiap ingin bermain mode ranked. Dibandingkan tim saya, Tim lawan selalu jauh lebih baik, Tidak menyepadankan antar tim dan lawan... Cukup Merekondisi sistem matching nya daripada harus mengadakan event gift skin bertahap-tahap.",1,1658,1.9.16.9839,2024-09-16 02:58:31
"Di update dikirain bakal menyelesaikan masalah, eh makin tambah masalah , wifi jaringan bagus padahal , di game nya lag parah malah makin kesini di lobby ga bisa masuk karena jaringan tidak stabil , tapi streaming Yt , apk tiktok lancar2 saja.",1,143,19.2.11.103,2024-09-20 09:29:56
"Sistem matching yang makin lama makin ancur, selalu dikasih team yang idiot, suka feeder nyusain. Mending benerin sistem matching dah dari pada event skin gratis yang cuman nyusain doang!!! Gua akan terus sampai kapanpun kasih rating ini game b1!! Game sampah ngebuat player jadi sengsara doang gara-gara sistem matching ni game yang gak ngotak.",1,749,1.9.16.9839,2024-09-09 18:50:01
"Gue suka game ini dari tahun 2017 namun akhir akhir ini sistem ranknya gak jelas dimana dapat tim yang tidak dapat membantu lebih tepatnya kek bot, dimana gameplaynya skrg tidak menggunakan skill lagi hanya menggunakan keberuntungan dari tim, apakah tim bisa diandalkan atau tidak. Sejak season 3 terakhir ini pemain solo selalu sial dimana udah susah susah main bagus tapi dari tim tidak ada dukungan.",1,663,1.9.16.9839,2024-09-09 13:50:10
"Sering ngebug, padahal jaringan dan juga penyimpanan masih normal , tapi selalu lag tanpa sebab , 3 kali bermain selalu mendapatkan tim yang tidak seimbang, ketika bermain di rank yang proteksi bintang nya sudah ada tapi ketika kalah bintang tetap hilang .",1,170,1.9.16.9839,2024-09-18 10:43:14
Entah kenapa pas dipertandingan sering banget lag yang tidak jelas karena ping 40-60ms hijau dan internetnya pun lancar tapi bisa lag males banget beberapa hari ini kayak gitu terus sudah dicek di pendeteksi jaringan tidak ada masalah aneh banget. Yang lebih parahnya lagi para toxic dan tim yang mengganggu saat pertandingan contohnya player yang menggunakan jawhead mendorong tim ke lawan dan membuatnya mati sudah dilaporkan tapi bukannya di banned malah dibiarkan dan katanya tidak ada kesalahan.,1,111,1.9.16.9839,2024-09-20 10:05:08
"Event oke, tapi sinyal sulit, main game lain ping stabil giliran mobile legend jaringan merah, buat apa event bagus tapi sistem jaringan busuk!! Perbaiki dulu sistemnya baru event nya bukan eventnya tapi sinyal ingame ga diperbaiki!!",1,218,1.9.16.9839,2024-09-15 16:21:36
"Saya ada 2 hp, android dan iphone. Main pake wifi yg sama + data. Di iphone pingnya 1 digit, di android saat di lobby atau di room pingnya 1 digit, tpi pas main pingnya jadi 20 ke atas (berasa ping 100an). Dan di android jika saya matikan data, pingnya lngsung merah ga bisa gerak pdhal wifi stabil lancar.",5,155,1.9.16.9839,2024-09-21 13:51:02
harap dibaca..moonton. semakin canggih semakin crash lag dan bug...walau sinyal wifi pun kena lag. mungkin harus ada proteksi dari sytem. BERI SANKSI(TIDAK BISA LOGIN KE RANK) BILA MELAKUKAN AFK APALAGI MENGGUNAKAN CHEAT'..!!!,1,103,1.9.16.9839,2024-09-19 18:09:11
"sering lag lag, ngebug, ngeframe, ngefreeze, kdg kelogout sendiri padahal jaringan bagus bagus aja, kdg bug nya bikin kesel dan rugi, ngegift skin malah ga ke kirim tapi dm nya berkurang, ngegacha di megic wheel jg, dapet magic core nya sering tapi ga nambah nambah, skrg ngepush afinitas capek capek taunya ga nambah mau menang atau kalah. ga cuma aku yg ngalamin, bnyk jg temenku yg ngalamin hal serupa. mana sering bngt dipertemukan sama publik yg ga jelas",1,193,1.9.16.9839,2024-09-15 13:33:08
"Atasi masalah jaringan dulu gausah nambah hero mulu. Sering lag mulu asw, ya masak wifi + data harus nyala terus......? Wifi+data ON juga masih gak stabil. Maunya gimana????? Game kok ruwet, nggarai emosi ae cuk",4,63,1.9.16.9839,2024-09-18 15:38:21
"Aku kasih 🌟 satu, aku selalu update semua tentang MLBB, dan semakin update semakin ga jelas ini game, masa iya aku main lose streak sampai 10x, matchmaking ga jelas, kasih tim selalu diberikan tim beban, bahkan untuk ke rank Mythic pun susahnya minta ampun...dan dari semua minus yang ada di MLBB kasus matchmaking yang paling parah, kalau bisa sih q kasih rating minus, sayang ga ada, kedepannya mungkin aku akan ganti game moba yang mirip-mirip, HOK contohnya",1,14,19.2.11.103,2024-09-21 12:22:26
"Enak² main malah tiba² ping tinggi terus lag. Padahal sebelumnya internet aman"" aja.udah gitu pas nyoba relog malah gabisa masuk ke battle nya. Padhal biasanya kalo habis relog masih bisa lanjut main . La ini malah ga bisa.btw lag nya bareng sama temenku.akhirnya jadi afk berdua padahal posisi game nya masih mulai malah gak bisa masuk ke battle fieldnyq",4,53,19.2.11.103,2024-09-21 14:52:26
"Bagus, kadang ngelek kadang nggak tolong moonton diperbaiki lagi sinyal nya agar bisa nerima sinyal yang bagus ... Dan kalo bisa ada sedikit skin gratis lagi lah heheheh makasih .. dan kenapa sekarang ml nya jadi kembali sendiri dan patah "" tolong diperbaiki lagi sinyal nya juga,",5,2,19.2.11.103,2024-09-21 10:48:53
"Dari segi gameplay sebenarnya sudah bagus tapi pembagian tim usahakan yang seimbang diantara kedua tim. Selama saya bermain tidak jarang mendapat musuh yang berat sebelah dengan tim saya,apalagi untuk saya yang lebih sering bermain solo menurut saya itu sangat merugikan dikarenakan bukan hanya membuat para pemain solo menghabiskan lebih banyak waktu untuk melakukan hal yang sia-sia didalam game ini. NAIK BINTANG KAGA,STRES IYA",4,34,19.2.11.103,2024-09-20 05:36:11
"Sampah, dark system gak jelas, tim gak bisa main musuh jago semua, gak jelas. Dark system tiap kali 1 win pasti kedua jalinya kalah, pengalaman bermain yang tidak seimbang selalu jadi masalah, game gak jelas. Selalu pasti di dark system, gak peduki musuh pada bagus atau temen yang mainnya gak bener",1,141,1.9.16.9839,2024-09-18 11:46:12
"Game nya sangat buruk,jadi males ngasi bintangnya,soalnya gak pernah kasih lawan yang seimbang, setiap main di kasih tim yang bot terus, giliran lawannya di kasih yang udah pro semua, udah gitu sinyalnya kayak mintak lebih aja gitu, padahal sinyalnya bagus banget tapi giliran tanding sinyalnya jelek na'uzubillahiminzalik, jadinya gak minat main game ini lagi😏",1,11,19.2.11.103,2024-09-20 17:58:04
Mohon diperbaiki lagi untuk masalah bug pada sinyal nya soalnya kadang sinyal tidak seimbang jangan keseringan update bug tapi sinyal masihh blom bisa seimbang 🙏🙏 dan untuk pembagian team untuk war kalau bisa yg seimbang lahh masa setiap war win streak cuma skali lose streak berkali kali,3,3,19.2.11.103,2024-09-20 22:42:38
"Saya maun uda lama,tapi pas saya update pack sekarang saya mengalami gangguan pas di game,pertama pas ban hero masih normal,loading masuh normal,tapi pas masuk game saya ngalamin bug di menit 3,bug di menit 8,bug di menit 10,aslhasil pas saya rilog kebali ke game game nya sudah habis dan alhasil credit skor saya berkurang gara-gara rilog di pertengahan game. Tolong untuk diperbaiki lagi🙏",1,73,19.2.11.103,2024-09-19 19:05:38
